spinhalt primitives:
SYNC_PERIOD= 5
 Work time: tics: 7900641924.000000 , time=: 2.821436 seconds
 Work time: tics: 10413427591.000000 , time=: 3.718789 seconds
 Work time: tics: 9979486748.000000 , time=: 3.563822 seconds
 Work time: tics: 9998767191.000000 , time=: 3.570708 seconds
 Work time: tics: 9929984330.000000 , time=: 3.546144 seconds
 Work time: tics: 10290769867.000000 , time=: 3.674986 seconds
 Work time: tics: 10694466860.000000 , time=: 3.819152 seconds
 Work time: tics: 10299710351.000000 , time=: 3.678179 seconds
 Work time: tics: 10393819422.000000 , time=: 3.711787 seconds
 Work time: tics: 9314892321.000000 , time=: 3.326486 seconds
 Work time: tics: 7933805712.000000 , time=: 2.833279 seconds


SYNC_PERIOD= 150
 Work time: tics: 9529622522.000000 , time=: 3.403169 seconds
 Work time: tics: 8879436482.000000 , time=: 3.170978 seconds
 Work time: tics: 10727925810.000000 , time=: 3.831101 seconds
 Work time: tics: 10828466033.000000 , time=: 3.867005 seconds
 Work time: tics: 10587662883.000000 , time=: 3.781011 seconds
 Work time: tics: 10045633094.000000 , time=: 3.587444 seconds
 Work time: tics: 9486842827.000000 , time=: 3.387892 seconds
 Work time: tics: 9771359766.000000 , time=: 3.489497 seconds
 Work time: tics: 10608564771.000000 , time=: 3.788475 seconds
 Work time: tics: 9263170455.000000 , time=: 3.308015 seconds
 Work time: tics: 11123495082.000000 , time=: 3.972365 seconds
 Work time: tics: 10771106430.000000 , time=: 3.846521 seconds
 Work time: tics: 9479681547.000000 , time=: 3.385335 seconds
 Work time: tics: 9358065507.000000 , time=: 3.341904 seconds
 Work time: tics: 8094368303.000000 , time=: 2.890619 seconds
 Work time: tics: 9942761836.000000 , time=: 3.550707 seconds
 Work time: tics: 9332725248.000000 , time=: 3.332854 seconds
 Work time: tics: 9765206549.000000 , time=: 3.487300 seconds
 Work time: tics: 9351578110.000000 , time=: 3.339587 seconds
 Work time: tics: 9433584825.000000 , time=: 3.368873 seconds
 Work time: tics: 11125663437.000000 , time=: 3.973139 seconds
 Work time: tics: 10102689506.000000 , time=: 3.607820 seconds
 Work time: tics: 10254307840.000000 , time=: 3.661965 seconds
 Work time: tics: 8964225333.000000 , time=: 3.201258 seconds
 Work time: tics: 9424308509.000000 , time=: 3.365560 seconds
 Work time: tics: 8846828865.000000 , time=: 3.159334 seconds
 Work time: tics: 8755106899.000000 , time=: 3.126578 seconds
 Work time: tics: 9335469171.000000 , time=: 3.333834 seconds
 Work time: tics: 10490179952.000000 , time=: 3.746198 seconds
 Work time: tics: 9642388763.000000 , time=: 3.443440 seconds
 Work time: tics: 9998491559.000000 , time=: 3.570609 seconds
 Work time: tics: 10470071290.000000 , time=: 3.739017 seconds
 Work time: tics: 9267431411.000000 , time=: 3.309537 seconds
 Work time: tics: 9056614203.000000 , time=: 3.234251 seconds
 Work time: tics: 10438223712.000000 , time=: 3.727644 seconds
 Work time: tics: 9995345703.000000 , time=: 3.569486 seconds
 Work time: tics: 9866864679.000000 , time=: 3.523603 seconds
 Work time: tics: 10050171348.000000 , time=: 3.589065 seconds
 Work time: tics: 10200225294.000000 , time=: 3.642651 seconds
 Work time: tics: 9752809402.000000 , time=: 3.482873 seconds


SYNC_PERIOD= 200
 Work time: tics: 10648639456.000000 , time=: 3.802787 seconds
 Work time: tics: 9471486598.000000 , time=: 3.382408 seconds
 Work time: tics: 10622768548.000000 , time=: 3.793548 seconds
 Work time: tics: 10398260425.000000 , time=: 3.713373 seconds
 Work time: tics: 9420012756.000000 , time=: 3.364026 seconds
 Work time: tics: 9683308985.000000 , time=: 3.458053 seconds
 Work time: tics: 8890381892.000000 , time=: 3.174887 seconds
 Work time: tics: 9821107394.000000 , time=: 3.507263 seconds
 Work time: tics: 10858396479.000000 , time=: 3.877694 seconds
 Work time: tics: 9796774092.000000 , time=: 3.498573 seconds
 Work time: tics: 9436897246.000000 , time=: 3.370056 seconds
 Work time: tics: 8827339892.000000 , time=: 3.152374 seconds
 Work time: tics: 8825530959.000000 , time=: 3.151728 seconds
 Work time: tics: 8730649606.000000 , time=: 3.117844 seconds
 Work time: tics: 10447925838.000000 , time=: 3.731109 seconds
 Work time: tics: 9432760918.000000 , time=: 3.368579 seconds
 Work time: tics: 8785274218.000000 , time=: 3.137351 seconds
 Work time: tics: 10332648816.000000 , time=: 3.689942 seconds
 Work time: tics: 10439750489.000000 , time=: 3.728189 seconds
 Work time: tics: 9758025060.000000 , time=: 3.484735 seconds
 Work time: tics: 9706439659.000000 , time=: 3.466313 seconds
 Work time: tics: 9717339842.000000 , time=: 3.470206 seconds
 Work time: tics: 10512418602.000000 , time=: 3.754140 seconds
 Work time: tics: 8432440534.000000 , time=: 3.011349 seconds
 Work time: tics: 10260707009.000000 , time=: 3.664250 seconds
 Work time: tics: 10060823458.000000 , time=: 3.592869 seconds
 Work time: tics: 9428226780.000000 , time=: 3.366959 seconds
 Work time: tics: 10059190638.000000 , time=: 3.592286 seconds
 Work time: tics: 9320990378.000000 , time=: 3.328664 seconds
 Work time: tics: 9921031771.000000 , time=: 3.542947 seconds
 Work time: tics: 9699920237.000000 , time=: 3.463985 seconds
 Work time: tics: 10539469885.000000 , time=: 3.763801 seconds
 Work time: tics: 9455919991.000000 , time=: 3.376849 seconds
 Work time: tics: 10591502971.000000 , time=: 3.782382 seconds
 Work time: tics: 8477638015.000000 , time=: 3.027490 seconds
 Work time: tics: 9129488445.000000 , time=: 3.260275 seconds
 Work time: tics: 11308333610.000000 , time=: 4.038373 seconds
 Work time: tics: 9264340519.000000 , time=: 3.308433 seconds
 Work time: tics: 11570255844.000000 , time=: 4.131910 seconds
 Work time: tics: 9746102170.000000 , time=: 3.480477 seconds


