pthread primitives:
SYNC_PERIOD= 5
 Work time: tics: 9234828827.000000 , time=: 3.297894 seconds
 Work time: tics: 10841463983.000000 , time=: 3.871647 seconds
 Work time: tics: 10099445601.000000 , time=: 3.606661 seconds
 Work time: tics: 10196252731.000000 , time=: 3.641233 seconds
 Work time: tics: 8685813423.000000 , time=: 3.101833 seconds
 Work time: tics: 10667776126.000000 , time=: 3.809621 seconds
 Work time: tics: 8748571272.000000 , time=: 3.124244 seconds
 Work time: tics: 9015872887.000000 , time=: 3.219702 seconds
 Work time: tics: 8582194362.000000 , time=: 3.064829 seconds
 Work time: tics: 10841816118.000000 , time=: 3.871773 seconds
 Work time: tics: 10165790684.000000 , time=: 3.630354 seconds
 Work time: tics: 10088517740.000000 , time=: 3.602759 seconds
 Work time: tics: 9824846234.000000 , time=: 3.508598 seconds
 Work time: tics: 9016875434.000000 , time=: 3.220060 seconds
 Work time: tics: 9823207758.000000 , time=: 3.508013 seconds
 Work time: tics: 10843009716.000000 , time=: 3.872199 seconds


SYNC_PERIOD= 100
 Work time: tics: 9665826520.000000 , time=: 3.451810 seconds
 Work time: tics: 10483480504.000000 , time=: 3.743806 seconds
 Work time: tics: 9258153268.000000 , time=: 3.306224 seconds
 Work time: tics: 8875909399.000000 , time=: 3.169719 seconds
 Work time: tics: 9402118250.000000 , time=: 3.357636 seconds
 Work time: tics: 10389048362.000000 , time=: 3.710083 seconds
 Work time: tics: 9420026028.000000 , time=: 3.364031 seconds
 Work time: tics: 8024655891.000000 , time=: 2.865723 seconds
 Work time: tics: 11098161452.000000 , time=: 3.963318 seconds
 Work time: tics: 11200296121.000000 , time=: 3.999791 seconds
 Work time: tics: 9749270181.000000 , time=: 3.481609 seconds
 Work time: tics: 9473056726.000000 , time=: 3.382969 seconds
 Work time: tics: 10093268801.000000 , time=: 3.604456 seconds
 Work time: tics: 9175276642.000000 , time=: 3.276627 seconds
 Work time: tics: 9940883533.000000 , time=: 3.550037 seconds
 Work time: tics: 9462196716.000000 , time=: 3.379090 seconds
 Work time: tics: 9735874421.000000 , time=: 3.476825 seconds
 Work time: tics: 9345461853.000000 , time=: 3.337403 seconds
 Work time: tics: 10203932431.000000 , time=: 3.643975 seconds
 Work time: tics: 10086415521.000000 , time=: 3.602008 seconds
 Work time: tics: 9986295522.000000 , time=: 3.566254 seconds
 Work time: tics: 8665553169.000000 , time=: 3.094597 seconds
 Work time: tics: 11025974239.000000 , time=: 3.937539 seconds
 Work time: tics: 9404786531.000000 , time=: 3.358588 seconds
 Work time: tics: 9738093001.000000 , time=: 3.477617 seconds
 Work time: tics: 9779008946.000000 , time=: 3.492229 seconds
 Work time: tics: 9780432249.000000 , time=: 3.492737 seconds
 Work time: tics: 10344554745.000000 , time=: 3.694194 seconds
 Work time: tics: 10114755490.000000 , time=: 3.612129 seconds
 Work time: tics: 10171572908.000000 , time=: 3.632419 seconds
 Work time: tics: 9622968152.000000 , time=: 3.436504 seconds
 Work time: tics: 9872120069.000000 , time=: 3.525480 seconds
 Work time: tics: 9911046957.000000 , time=: 3.539382 seconds
 Work time: tics: 10218774853.000000 , time=: 3.649276 seconds
 Work time: tics: 8423057559.000000 , time=: 3.007998 seconds
 Work time: tics: 10176450970.000000 , time=: 3.634161 seconds
 Work time: tics: 9550108638.000000 , time=: 3.410485 seconds
 Work time: tics: 9716773290.000000 , time=: 3.470004 seconds
 Work time: tics: 9328742360.000000 , time=: 3.331432 seconds
 Work time: tics: 9259544371.000000 , time=: 3.306720 seconds


SYNC_PERIOD= 150
 Work time: tics: 9549787023.000000 , time=: 3.410370 seconds
 Work time: tics: 9221755725.000000 , time=: 3.293225 seconds
 Work time: tics: 10340898659.000000 , time=: 3.692888 seconds
 Work time: tics: 8467518612.000000 , time=: 3.023876 seconds
 Work time: tics: 9540787221.000000 , time=: 3.407156 seconds
 Work time: tics: 9764225289.000000 , time=: 3.486949 seconds
 Work time: tics: 10516945670.000000 , time=: 3.755757 seconds
 Work time: tics: 9297864709.000000 , time=: 3.320405 seconds
 Work time: tics: 8696805425.000000 , time=: 3.105758 seconds
 Work time: tics: 9652587476.000000 , time=: 3.447082 seconds
 Work time: tics: 9301611326.000000 , time=: 3.321743 seconds
 Work time: tics: 9296209699.000000 , time=: 3.319814 seconds
 Work time: tics: 9566462248.000000 , time=: 3.416325 seconds
 Work time: tics: 8037227646.000000 , time=: 2.870213 seconds
 Work time: tics: 9069869739.000000 , time=: 3.238985 seconds
 Work time: tics: 10324488279.000000 , time=: 3.687028 seconds
 Work time: tics: 10248123053.000000 , time=: 3.659756 seconds
 Work time: tics: 9326273852.000000 , time=: 3.330550 seconds
 Work time: tics: 9906209082.000000 , time=: 3.537654 seconds
 Work time: tics: 9583704158.000000 , time=: 3.422483 seconds
 Work time: tics: 9523467016.000000 , time=: 3.400971 seconds
 Work time: tics: 10067797579.000000 , time=: 3.595359 seconds
 Work time: tics: 10021250869.000000 , time=: 3.578737 seconds
 Work time: tics: 9625679343.000000 , time=: 3.437473 seconds
 Work time: tics: 9068613183.000000 , time=: 3.238536 seconds
 Work time: tics: 11151914207.000000 , time=: 3.982514 seconds
