spinpause primitives:
SYNC_PERIOD= 5
 Work time: tics: 12864480895.000000 , time=: 4.594096 seconds
 Work time: tics: 12477691989.000000 , time=: 4.455968 seconds
 Work time: tics: 12896988636.000000 , time=: 4.605705 seconds
 Work time: tics: 11324258029.000000 , time=: 4.044060 seconds
 Work time: tics: 11312635999.000000 , time=: 4.039910 seconds
 Work time: tics: 11508142793.000000 , time=: 4.109728 seconds
 Work time: tics: 11207561652.000000 , time=: 4.002386 seconds
 Work time: tics: 11817282603.000000 , time=: 4.220126 seconds
 Work time: tics: 11093162822.000000 , time=: 3.961533 seconds
 Work time: tics: 12229752556.000000 , time=: 4.367426 seconds
 Work time: tics: 11995408677.000000 , time=: 4.283738 seconds
 Work time: tics: 12172526842.000000 , time=: 4.346989 seconds
 Work time: tics: 12824641501.000000 , time=: 4.579869 seconds
 Work time: tics: 12217862377.000000 , time=: 4.363179 seconds
 Work time: tics: 11918251268.000000 , time=: 4.256184 seconds
 Work time: tics: 12288949323.000000 , time=: 4.388566 seconds
 Work time: tics: 11454809373.000000 , time=: 4.090682 seconds
 Work time: tics: 11693563049.000000 , time=: 4.175944 seconds
 Work time: tics: 12946753386.000000 , time=: 4.623477 seconds
 Work time: tics: 11678529730.000000 , time=: 4.170576 seconds
 Work time: tics: 11797914135.000000 , time=: 4.213210 seconds
 Work time: tics: 12357589580.000000 , time=: 4.413078 seconds
 Work time: tics: 11853321599.000000 , time=: 4.232997 seconds
 Work time: tics: 12825076600.000000 , time=: 4.580025 seconds
 Work time: tics: 13101733771.000000 , time=: 4.678823 seconds
 Work time: tics: 12440848525.000000 , time=: 4.442811 seconds
 Work time: tics: 12479090295.000000 , time=: 4.456468 seconds
 Work time: tics: 12454438780.000000 , time=: 4.447664 seconds
 Work time: tics: 12874468621.000000 , time=: 4.597663 seconds


SYNC_PERIOD= 100
 Work time: tics: 12882705892.000000 , time=: 4.600605 seconds
 Work time: tics: 11630683848.000000 , time=: 4.153489 seconds
 Work time: tics: 10748638047.000000 , time=: 3.838498 seconds
 Work time: tics: 11996856928.000000 , time=: 4.284255 seconds
 Work time: tics: 11695464207.000000 , time=: 4.176623 seconds
 Work time: tics: 12093942742.000000 , time=: 4.318926 seconds
 Work time: tics: 12042263723.000000 , time=: 4.300471 seconds
 Work time: tics: 11454331553.000000 , time=: 4.090511 seconds
 Work time: tics: 11983000400.000000 , time=: 4.279307 seconds
 Work time: tics: 11869311090.000000 , time=: 4.238707 seconds
 Work time: tics: 13283355750.000000 , time=: 4.743683 seconds
 Work time: tics: 11569395768.000000 , time=: 4.131602 seconds
 Work time: tics: 12259842896.000000 , time=: 4.378171 seconds
 Work time: tics: 12781460454.000000 , time=: 4.564449 seconds
 Work time: tics: 13221896639.000000 , time=: 4.721735 seconds
 Work time: tics: 11289297292.000000 , time=: 4.031575 seconds
 Work time: tics: 12406167704.000000 , time=: 4.430426 seconds
 Work time: tics: 11782927016.000000 , time=: 4.207858 seconds
 Work time: tics: 10745697109.000000 , time=: 3.837447 seconds
 Work time: tics: 10431892275.000000 , time=: 3.725383 seconds
 Work time: tics: 10821420932.000000 , time=: 3.864490 seconds
 Work time: tics: 12398711962.000000 , time=: 4.427764 seconds
 Work time: tics: 11577059424.000000 , time=: 4.134339 seconds
 Work time: tics: 12174066226.000000 , time=: 4.347539 seconds
 Work time: tics: 11246124113.000000 , time=: 4.016157 seconds
 Work time: tics: 9006387362.000000 , time=: 3.216314 seconds
 Work time: tics: 11766033692.000000 , time=: 4.201825 seconds
 Work time: tics: 13538897659.000000 , time=: 4.834941 seconds
 Work time: tics: 11572312269.000000 , time=: 4.132644 seconds
 Work time: tics: 12933303054.000000 , time=: 4.618674 seconds
 Work time: tics: 10857268513.000000 , time=: 3.877291 seconds
 Work time: tics: 11377248470.000000 , time=: 4.062984 seconds
 Work time: tics: 12332785787.000000 , time=: 4.404220 seconds
 Work time: tics: 11026507338.000000 , time=: 3.937729 seconds
 Work time: tics: 12719959665.000000 , time=: 4.542486 seconds
 Work time: tics: 11681129103.000000 , time=: 4.171504 seconds
 Work time: tics: 12878840709.000000 , time=: 4.599225 seconds
 Work time: tics: 12129082392.000000 , time=: 4.331475 seconds
 Work time: tics: 13905661588.000000 , time=: 4.965918 seconds
 Work time: tics: 11106671737.000000 , time=: 3.966357 seconds


SYNC_PERIOD= 150
 Work time: tics: 11420666446.000000 , time=: 4.078489 seconds
 Work time: tics: 12929102459.000000 , time=: 4.617174 seconds
 Work time: tics: 11687241748.000000 , time=: 4.173687 seconds
 Work time: tics: 12722041521.000000 , time=: 4.543229 seconds
 Work time: tics: 11620576303.000000 , time=: 4.149880 seconds
 Work time: tics: 11293470377.000000 , time=: 4.033065 seconds
 Work time: tics: 12261069618.000000 , time=: 4.378609 seconds
 Work time: tics: 12519732743.000000 , time=: 4.470982 seconds
 Work time: tics: 11434105410.000000 , time=: 4.083288 seconds
 Work time: tics: 11610382938.000000 , time=: 4.146240 seconds
 Work time: tics: 12947114159.000000 , time=: 4.623606 seconds
 Work time: tics: 9777323150.000000 , time=: 3.491627 seconds
 Work time: tics: 10334367680.000000 , time=: 3.690556 seconds
 Work time: tics: 10879662976.000000 , time=: 3.885289 seconds
 Work time: tics: 12555460260.000000 , time=: 4.483741 seconds
 Work time: tics: 13078911510.000000 , time=: 4.670673 seconds
 Work time: tics: 11836361635.000000 , time=: 4.226940 seconds
 Work time: tics: 13013287742.000000 , time=: 4.647238 seconds
 Work time: tics: 11630373622.000000 , time=: 4.153379 seconds
 Work time: tics: 11763398087.000000 , time=: 4.200884 seconds
 Work time: tics: 11938960243.000000 , time=: 4.263579 seconds
 Work time: tics: 10786412952.000000 , time=: 3.851988 seconds
 Work time: tics: 11532549749.000000 , time=: 4.118444 seconds
 Work time: tics: 11006312212.000000 , time=: 3.930517 seconds
 Work time: tics: 12399584232.000000 , time=: 4.428075 seconds
 Work time: tics: 11914091644.000000 , time=: 4.254698 seconds
 Work time: tics: 11553270309.000000 , time=: 4.125844 seconds
 Work time: tics: 9758207109.000000 , time=: 3.484800 seconds
 Work time: tics: 12378888781.000000 , time=: 4.420684 seconds
 Work time: tics: 11119034619.000000 , time=: 3.970772 seconds
 Work time: tics: 11812851953.000000 , time=: 4.218544 seconds
 Work time: tics: 11676764365.000000 , time=: 4.169945 seconds
 Work time: tics: 11348295854.000000 , time=: 4.052644 seconds
 Work time: tics: 12543380591.000000 , time=: 4.479427 seconds
 Work time: tics: 12434066897.000000 , time=: 4.440389 seconds
 Work time: tics: 11527390231.000000 , time=: 4.116602 seconds
 Work time: tics: 11600866018.000000 , time=: 4.142841 seconds
 Work time: tics: 11163621308.000000 , time=: 3.986694 seconds
 Work time: tics: 12421351964.000000 , time=: 4.435849 seconds
 Work time: tics: 12032514788.000000 , time=: 4.296989 seconds


SYNC_PERIOD= 200
 Work time: tics: 10956227793.000000 , time=: 3.912631 seconds
 Work time: tics: 12952063880.000000 , time=: 4.625374 seconds
 Work time: tics: 12359724370.000000 , time=: 4.413840 seconds
 Work time: tics: 11292888516.000000 , time=: 4.032858 seconds
 Work time: tics: 10851101352.000000 , time=: 3.875089 seconds
 Work time: tics: 11857366864.000000 , time=: 4.234441 seconds
 Work time: tics: 12691075880.000000 , time=: 4.532171 seconds
 Work time: tics: 11169198845.000000 , time=: 3.988686 seconds
 Work time: tics: 11352359718.000000 , time=: 4.054096 seconds
 Work time: tics: 10701501874.000000 , time=: 3.821665 seconds
 Work time: tics: 10462035325.000000 , time=: 3.736148 seconds
 Work time: tics: 11139306052.000000 , time=: 3.978011 seconds
 Work time: tics: 12203564947.000000 , time=: 4.358074 seconds
 Work time: tics: 10713897348.000000 , time=: 3.826091 seconds
 Work time: tics: 12953428761.000000 , time=: 4.625861 seconds
 Work time: tics: 11461863707.000000 , time=: 4.093201 seconds
 Work time: tics: 11331693702.000000 , time=: 4.046716 seconds
 Work time: tics: 11000114258.000000 , time=: 3.928304 seconds
 Work time: tics: 11066028155.000000 , time=: 3.951842 seconds
 Work time: tics: 11782092105.000000 , time=: 4.207559 seconds
 Work time: tics: 11035994627.000000 , time=: 3.941117 seconds
 Work time: tics: 12554517619.000000 , time=: 4.483404 seconds
 Work time: tics: 12076923859.000000 , time=: 4.312848 seconds
 Work time: tics: 9384570692.000000 , time=: 3.351369 seconds
 Work time: tics: 9329631157.000000 , time=: 3.331749 seconds
 Work time: tics: 11289576130.000000 , time=: 4.031675 seconds
 Work time: tics: 10982480754.000000 , time=: 3.922006 seconds
 Work time: tics: 11709291321.000000 , time=: 4.181561 seconds
 Work time: tics: 10869738495.000000 , time=: 3.881744 seconds
 Work time: tics: 11007341744.000000 , time=: 3.930885 seconds
 Work time: tics: 11362774129.000000 , time=: 4.057815 seconds
 Work time: tics: 12351321570.000000 , time=: 4.410840 seconds
 Work time: tics: 11202297456.000000 , time=: 4.000506 seconds
 Work time: tics: 12683899368.000000 , time=: 4.529608 seconds
 Work time: tics: 11327265852.000000 , time=: 4.045134 seconds
 Work time: tics: 11209574313.000000 , time=: 4.003105 seconds
 Work time: tics: 11192895609.000000 , time=: 3.997149 seconds
 Work time: tics: 12173391370.000000 , time=: 4.347298 seconds
 Work time: tics: 12114309648.000000 , time=: 4.326199 seconds
 Work time: tics: 10121054958.000000 , time=: 3.614378 seconds


SYNC_PERIOD= 250
 Work time: tics: 12223554686.000000 , time=: 4.365212 seconds
 Work time: tics: 11580081296.000000 , time=: 4.135418 seconds
 Work time: tics: 13124718257.000000 , time=: 4.687031 seconds
 Work time: tics: 10729693282.000000 , time=: 3.831732 seconds
 Work time: tics: 12616883559.000000 , time=: 4.505676 seconds
 Work time: tics: 13861664061.000000 , time=: 4.950205 seconds
 Work time: tics: 11029696328.000000 , time=: 3.938868 seconds
 Work time: tics: 11168579583.000000 , time=: 3.988465 seconds
 Work time: tics: 12781753453.000000 , time=: 4.564553 seconds
 Work time: tics: 12755257228.000000 , time=: 4.555091 seconds
 Work time: tics: 12470635100.000000 , time=: 4.453448 seconds
 Work time: tics: 10616373341.000000 , time=: 3.791264 seconds
 Work time: tics: 10229180451.000000 , time=: 3.652992 seconds
